load_mass,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,fitness
1.0,3021175996270.8696,7673477309686.261,9846699483442.086,9545618554594.557,892029276968.8999,216229900204.3356,134924828801.41388,109253462215.23203,1160242.7503262113,79305178.26700734,-5986.678305990785
1.0,2075087295705.3113,5695373231527.624,9995374969237.857,9875299609196.354,652299813299.9082,216229900204.3356,134924828801.41388,31993607717.97731,30672.331165049243,5834172.314407642,-5744.96801782078
1.25,2075087295705.3113,7189813203909.346,9995374969237.857,9875299609196.354,652299813299.9082,216229900204.3356,134924828801.41388,31993607717.97731,30672.331165049243,17476904.69724535,-5742.5632911947905
1.0,1277321759541.039,9572098466822.57,9574573059908.26,9945941935027.102,371681605402.02124,413412019316.09515,150771407171.46173,31993607717.97731,30672.331165049243,33235229.21140388,-5596.22203658653
1.25,1203477655193.6843,5332394914638.537,9574573059908.26,9248199481547.25,371681605402.02124,159522068920.94653,150771407171.46173,31993607717.97731,30672.331165049243,15321179.836744355,-5562.847246749488
1.5,1203477655193.6843,93761212683.20781,7621621518682.484,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,90687539.01319647,-5374.557386271654
1.75,1203477655193.6843,93761212683.20781,9765275450015.129,9505481231958.088,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,96063599.29921867,-5472.915676112638
2.0,1203477655193.6843,1968284785633.4617,9775263020226.94,9966390665938.6,371681605402.02124,66258901647.76004,150771407171.46173,31993607717.97731,30672.331165049243,2839064.6209859843,-5547.208083563201
2.25,2164463161398.924,3778897990703.5347,5668022071875.963,9845130268825.445,371681605402.02124,551498300891.0392,1445796086.5189466,31993607717.97731,97294165.8824128,94015298.57279527,-6210.691727389575
2.5,4172993793641.3853,8833632916330.117,6671745893696.457,7605772919942.628,371681605402.02124,551498300891.0392,231468588007.09555,4574319689528.118,69594175.69187732,61295414.61585733,-8413.473415262655
2.75,9841147679340.412,3539522307000.087,6963744260648.38,9278536618095.014,615975061012.1996,168225261730.11063,2352105282402.589,4490437791760.641,62385800.6062153,32333799.74700614,-137755.60473342592
3.0,9992333306721.297,9826558526062.77,5224574347311.44,6638218460451.51,615975061012.1996,337456076078.8449,3666601381499.479,9984871747438.18,46951501.745515995,78897211.3030529,-2012862.7976592588
3.25,9983245791809.05,9932627265423.361,1116544840.1019185,6601885990398.042,615975061012.1996,337456076078.8449,5988933696617.093,9241334715424.004,41095045.826296024,4853375.599141913,-13106748.13337487
3.5,9764318117313.684,9386718460232.88,761787142286.6797,197538797052.75433,615975061012.1996,337456076078.8449,8406088105536.403,8971666615907.686,33094213.921638604,11540845.864218319,-54910471.363602474
3.75,9930541940702.492,7970311061104.3545,781710892004.2394,148668615238.3577,594367412729.3643,216228951864.5711,8923866466003.592,4555033799715.476,22892004.244789954,19271281.64849356,-113224663.65587047
4.0,9971986675237.242,7823211605150.235,111985917256.87834,2576929753580.3794,594367412729.3643,216228951864.5711,9810230383854.494,8318353819737.543,29460948.256464206,16092406.358165262,-629167403.9314806
4.25,9971986675237.242,7231543617974.528,4703117650857.267,634917989747.0082,594367412729.3643,216228951864.5711,9891772149635.723,6013829518864.501,32821789.93802851,2616343.811538477,-1870116421.7105958
4.5,9978231954050.26,5417988930257.546,8321880085301.214,2984330334063.9014,671120374567.9541,205490623017.6646,9713505798310.043,9073380287453.846,39098238.49091538,2097886.067971986,-11542765518.876219
4.75,4216035562112.1294,9516480250285.564,5028005912197.63,1776328932433.3787,195976350803.04996,161525623804.57602,3810681962856.6846,4154469469652.9585,4341981.814580027,417322.3787883758,-257779707.7187216
5.0,6244552042933.948,9781241014537.271,2534372897555.0327,610468879193.3378,195976350803.04996,161525623804.57602,1099675987250.3503,9469224092534.768,4341981.814580027,6348765.557130924,-109121582.80908428
5.25,8817260331102.658,848624497176.6677,5662450689673.352,5926954012759.339,556496486128.8214,5989160796.123872,1700537619738.558,8924462116378.684,30580231.583191235,546457.3293643022,-25949243503.930454
5.5,8817260331102.658,919605778742.8137,5206984754256.916,6836933932785.544,556496486128.8214,5989160796.123872,8562552926567.753,8339376099904.203,26448104.961293466,546457.3293643022,-27937452165.854084
5.75,9224436865119.723,9805522700741.889,2336087362692.96,9824858678552.746,537181287745.2388,81022003605.29343,8700359479000.269,1440793061394.131,191515.3574217675,546457.3293643022,-17710939494.311348
1.0,4955177670593.368,3921995122860.1914,9906289778473.754,9064394389156.607,1334400967576.358,198523715021.64023,355596286375.8756,6427700490.983057,459283.64541367686,7136656.390344734,-6245.313812163181
1.25,1189875999311.2173,8088553851690.612,9861730584687.924,9010993120241.166,314897009674.0035,815954280675.091,124972672547.80963,25863864624.33264,117895.5297859607,17921496.18250673,-5619.5936726767
1.5,1086791883105.7334,8826796565043.596,9906140762492.348,9566185202272.436,328034674459.9162,815954280675.091,124972672547.80963,17956091763.29048,117895.5297859607,20697545.570629384,-5518.300464013676
1.0,1086791883105.7334,9416697657047.809,9906140762492.348,9301959801062.205,328034674459.9162,328625017814.65,18092767691.656563,17956091763.29048,117895.5297859607,22333825.026546672,-5243.223261613
1.25,1086791883105.7334,9423585479154.723,9906140762492.348,9481357368030.85,328034674459.9162,328625017814.65,18092767691.656563,17956091763.29048,117895.5297859607,17646192.461529747,-5243.480221651225
1.5,1086791883105.7334,9737046215932.83,9906140762492.348,9481357368030.85,328034674459.9162,208881790314.61572,18092767691.656563,17956091763.29048,117895.5297859607,76911633.21134327,-5239.052688310421
1.75,1086791883105.7334,7327725718348.101,9906140762492.348,9481357368030.85,328034674459.9162,208881790314.61572,9826593678.420414,17956091763.29048,117895.5297859607,36942905.464396074,-5234.0187156470065
2.0,1086791883105.7334,6635384289448.077,9906140762492.348,9481357368030.85,328034674459.9162,208881790314.61572,9826593678.420414,17956091763.29048,117895.5297859607,8024336.88547918,-5231.872066217836
2.25,2064707065785.7458,3151981092900.126,7591687855030.0,487471480712.5836,328034674459.9162,569840144770.1108,9826593678.420414,17956091763.29048,78582271.97767915,80860982.62587784,-5809.074418574822
2.5,5607067993296.543,6231263413082.551,1644168123706.5952,314504875435.10223,328034674459.9162,498887027186.3878,9826593678.420414,28171798846.25497,49080695.37175485,97920322.25552267,-5557.4268536443105
2.75,8938475096814.492,8512264403167.701,9466687784475.46,1011678846354.135,412203735618.8003,282935822448.36816,368026760160.859,173872598547.9995,42270700.79986811,39569893.096297994,-5939.207818473544
3.0,9961757003034.752,7462257222265.568,7821670437220.651,8589335706902.335,710769528967.2878,341083920993.6879,5706903902991.044,8992883785573.969,57330072.25347918,21134548.06564298,-7504997.8361617755
3.25,9600638175684.84,9442087367388.115,7362010894182.604,1189858101382.4827,661014504408.0308,358901409196.94904,7977681894942.268,5343544598799.96,43500975.39849477,9173904.363944532,-29157416.027137805
3.5,9600638175684.84,6860667328402.649,2030209052146.7288,4861459546680.022,542477741428.9351,65734567878.1086,6331714195541.735,4633879396530.264,32415926.20652587,11277015.232174248,-34151771.28147793
3.75,9600638175684.84,3388054112453.2783,7437176948950.476,3098589998606.62,484154886336.6608,65734567878.1086,5639894775607.862,9593706769912.537,18135019.042170536,6541829.330050645,-26889345.602493353
4.0,9358759403517.666,8571527962593.602,1340639297551.5825,1763333698595.5793,484154886336.6608,65734567878.1086,7404243178621.8,8887701475980.473,16268020.679731082,2378094.381769933,-71356968.76652998
4.25,9358759403517.666,8413739430198.188,1675582651202.4075,153990799891.3793,484154886336.6608,65734567878.1086,8852465145621.078,9342032993183.996,12830051.459522804,4352094.138045355,-120331830.4877924
4.5,9859469298485.625,9569277023892.557,2972201500480.9644,1552046546690.2634,484154886336.6608,65734567878.1086,9318179888921.922,8653148944827.818,12283515.826742463,1152693.2832516588,-193125283.96281195
4.75,9834929931856.512,8077951454290.527,886569053770.2965,653827722355.5757,484154886336.6608,65734567878.1086,9947389652573.729,9682030667193.92,6201517.742033496,17828597.7204846,-203995987.64872846
5.0,9977400279454.219,9313634494959.994,691286140809.796,829087281747.697,484154886336.6608,65734567878.1086,9884409336207.348,9286220422462.932,11982645.78794841,991210.9451700947,-1100102631.501907
5.25,9977400279454.219,9707977869862.354,4744100045139.783,234735762784.0575,484154886336.6608,65734567878.1086,9873030025995.668,9258484838388.678,12606403.370705275,991210.9451700947,-2132109871.8692632
5.5,8099215864417.231,8216942805137.734,8247005809068.052,3120456855684.004,333086371012.66205,197783325724.2768,5546237318013.18,6068398850239.306,5761855.078258831,1495936.261593654,-962190508.1322391
5.75,8826377356922.385,9903229150210.322,4877716505672.579,2850281563142.628,333086371012.66205,197783325724.2768,5986064086943.173,7494418899048.879,4426851.213473433,1495936.261593654,-399272634.6064766
6.0,8888866143136.428,9903229150210.322,1938912289798.4136,6800872419250.225,333086371012.66205,99273799936.58902,6129595795179.374,6377688468850.119,4426851.213473433,1495936.261593654,-581455685.8559066
